7f000001:986a	6785:0	307163	324003	1	2740
7f000001:986a	6785:1	401854	407049	1	81755
7f000001:986a	6785:2	469949	544098	1	20140
7f000001:986a	6785:3	558118	621959	1	7370
7f000001:986a	6785:4	626594	685873	1	79889
7f000001:986a	6785:5	711201	822497	1	192
7f000001:986a	6785:6	866704	878007	1	19891
7f000001:986a	6785:7	919596	953318	1	31483
7f000001:986a	6785:8	980861	1039783	1	17958
7f000001:986a	6785:9	1101711	1111883	1	1726
7f000001:986a	6785:10	1223810	1228220	1	69762
7f000001:986a	6785:11	1281816	1306496	1	18265
7f000001:986a	6785:12	1366388	1380822	1	33670
7f000001:986a	6785:13	1446219	1456569	1	2584
7f000001:986a	6785:14	1564675	1568642	1	21506
7f000001:986a	6785:15	1623158	1644312	1	8093
7f000001:986a	6785:16	1695438	1707174	1	12254
7f000001:986a	6785:17	1715375	1776177	1	68645
7f000001:986a	6785:18	1779692	1874683	2	53305
7f000001:986a	6785:19	1844301	1977968	2	6791
7f000001:986a	6785:20	1951960	2025697	2	42804
7f000001:986a	6785:21	1982317	2066109	2	65019
7f000001:986a	6785:22	2051811	2155708	2	59446
7f000001:986a	6785:23	2139883	2237286	2	53976
7f000001:986a	6785:24	2180381	2316106	2	23649
7f000001:986a	6785:25	2308695	2357651	1	4266
7f000001:986a	6785:26	2391471	2400115	1	54371
7f000001:986a	6785:27	2494016	2509911	1	4303
7f000001:986a	6785:28	2581283	2584386	1	6987
7f000001:986a	6785:29	2654965	2664771	1	20418
7f000001:986a	6785:30	2794222	2799171	1	10766
7f000001:986a	6785:31	2955836	2960291	1	26985
7f000001:986a	6785:32	3052863	3057072	1	6808
7f000001:986a	6785:33	3126527	3129442	1	68352
7f000001:986a	6785:34	3161795	3226893	2	85002
7f000001:986a	6785:35	3225283	3366095	2	10753
7f000001:986a	6785:36	3285827	3422747	1	8672
7f000001:986a	6785:37	3438699	3485833	2	59057
7f000001:986a	6785:38	3483719	3546560	1	19523
7f000001:986a	6785:39	3547485	3593891	1	9151
7f000001:986a	6785:40	3613496	3614714	1	17807
7f000001:986a	6785:41	3687635	3688762	1	35905
7f000001:986a	6785:42	3765510	3769444	1	8622
7f000001:986a	6785:43	3779945	3834151	1	6344
7f000001:986a	6785:44	3866404	3894993	1	8381
7f000001:986a	6785:45	3992916	3997361	1	18266
7f000001:986a	6785:46	4087778	4091328	1	43102
7f000001:986a	6785:47	4160321	4165885	1	20049
7f000001:986a	6785:48	4224991	4235348	1	976
7f000001:986a	6785:49	4308544	4312335	1	9418
7f000001:986a	6785:50	4363563	4376525	1	28127
7f000001:986a	6785:51	4438611	4458554	1	3006
7f000001:986a	6785:52	4497218	4516668	1	11562
7f000001:986a	6785:53	4553275	4575761	1	3727
7f000001:986a	6785:54	4611046	4634999	1	23115
7f000001:986a	6785:55	4690743	4705959	1	7310
7f000001:986a	6785:56	4756219	4769258	1	2030
7f000001:986a	6785:57	4815286	4829259	1	32010
7f000001:986a	6785:58	4872024	4882910	1	3669
7f000001:986a	6785:59	4897260	4899569	1	1927
7f000001:986a	6785:60	4969224	4973228	1	79934
7f000001:986a	6785:61	5027164	5097898	2	6866
7f000001:986a	6785:62	5092023	5154263	1	610
7f000001:986a	6785:63	5217930	5221927	1	782
7f000001:986a	6785:64	5276959	5278718	1	13937
7f000001:986a	6785:65	5347967	5349062	1	2319
7f000001:986a	6785:66	5416537	5420732	1	43852
7f000001:986a	6785:67	5456448	5519347	2	14795
7f000001:986a	6785:68	5485427	5582431	2	15633
7f000001:986a	6785:69	5525766	5642272	2	11347
7f000001:986a	6785:70	5611936	5707199	2	6183
7f000001:986a	6785:71	5705090	5764159	1	4713
7f000001:986a	6785:72	5765876	5783092	1	36158
7f000001:986a	6785:73	5823105	5831283	1	19047
7f000001:986a	6785:74	5881837	5885152	1	1628
7f000001:986a	6785:75	5972897	5976049	1	14414
7f000001:986a	6785:76	6034518	6046034	1	10108
7f000001:986a	6785:77	6126145	6131454	1	51959
7f000001:986a	6785:78	6169467	6209717	1	23030
7f000001:986a	6785:79	6319783	6325883	1	14043
7f000001:986a	6785:80	6385516	6389260	1	9493
7f000001:986a	6785:81	6461918	6465871	1	11687
7f000001:986a	6785:82	6479710	6519910	1	39760
7f000001:986a	6785:83	6567979	6615179	1	18015
7f000001:986a	6785:84	6631304	6687028	1	8306
7f000001:986a	6785:85	6755550	6758499	1	992
7f000001:986a	6785:86	6829123	6832486	1	22751
7f000001:986a	6785:87	6893866	6897109	1	17261
7f000001:986a	6785:88	6972344	6975931	1	6200
7f000001:986a	6785:89	7034894	7038777	1	14639
7f000001:986a	6785:90	7104023	7109989	1	45728
7f000001:986a	6785:91	7160300	7217326	1	10371
7f000001:986a	6785:92	7233061	7287861	1	33731
7f000001:986a	6785:93	7297330	7365521	1	25595
7f000001:986a	6785:94	7379773	7423319	1	6967
7f000001:986a	6785:95	7426969	7487386	1	23066
7f000001:986a	6785:96	7517678	7567204	1	36696
7f000001:986a	6785:97	7582927	7642355	1	55744
7f000001:986a	6785:98	7659154	7746184	2	88025
7f000001:986a	6785:99	7718498	7856090	2	48413
7f000001:986a	6785:100	7796482	7922816	3	40156
7f000001:986a	6785:101	7918202	7992601	3	50445
7f000001:986a	6785:102	7919827	8032637	2	27420
7f000001:986a	6785:103	7990068	8056244	1	24787
